FIELD LABEL | API NAME
"Average Time Spent (Minutes)"|"Average_Time_Spent_Minutes"
"Budget"|"Budget"
"Campaign/Marketing Event"|"Campaign_Marketing_Event"
"City"|"City"
"Client Persona"|"Client_Persona"
"Consult Interest"|"Consult_Interests"
"Contact Method"|"Contact_Method"
"Country"|"Country"
"Created By"|"Created_By"
"Days Visited"|"Days_Visited"
"Description"|"Description"
"Email"|"Email"
"Event Date"|"Event_Date"
"First Name"|"First_Name"
"First Page Visited"|"First_Visited_URL"
"First Visit"|"First_Visited_Time"
"Industry"|"Industry"
"Last Name"|"Last_Name"
"Lead Image"|"Record_Image"
"Lead Owner"|"Owner"
"Lead Source"|"Lead_Source"
"Lead Status"|"Lead_Status"
"Lost Lead Reason"|"Lost_Lead_Reason"
"Most Recent Visit"|"Last_Visited_Time"
"Number Of Chats"|"Number_Of_Chats"
"Phone"|"Phone"
"Prediction"|"Prediction_Score"
"Referred By"|"Referred_By"
"Referrer"|"Referrer"
"Show Address Fields"|"Show_Address_Fields"
"State"|"State"
"Street"|"Street"
"Time Called"|"Time_Called"
"Visitor Score"|"Visitor_Score"
"Zip Code"|"Zip_Code"
"Currency"|"Currency"
"Date Fabric Discontinued"|"Date_Fabric_Discontinued"
"Date Fabric was Last Checked"|"Date_Fabric_was_Last_Checked"
"Exchange Rate"|"Exchange_Rate"
"Expected Renewal Date"|"Expected_Renewal_Date"
"Fabric Activity (Notes)"|"Fabric_Activity"
"Fabric Availability"|"Availability"
"Fabric Classification"|"Classification"
"Fabric Code"|"Fabric_Code"
"Fabric Code and Name"|"Name"
"Fabric Description"|"Fabric_Name"
"Fabric Price Range"|"Fabric_Range"
"Fabric Type"|"Fabric_Type"
"MADE Collection"|"Fabric_Collection"
"MADE Selected Pic Stitch Colour"|"Pic_Stitch_Colour"
"Make Up"|"Make_Up"
"Mill"|"Mill"
"On Watchlist"|"On_Watchlist"
"Orders with Fabric"|"Orders_with_Fabric"
"Renewal Status / Special Order Program"|"Renewal_Status_Special_Order_Program"
"Reserve Program"|"Reserve_Program"
"Reviewed by Manager"|"Reviewed_by_Manager"
"Shirting Collection"|"Shirting_Collection"
"Stretch Fabric?"|"Stretch_Fabric"
"Supplier Classification"|"Fabric_List"
"Supplier Pic Stitch Colour"|"Supplier_Pic_Stitch_Colour"
"Untitled Owner"|"Owner"
"Yardage"|"Yardage"
"Yardage Reserved"|"Yardage_Reserved"
"AcuityID"|"acuityscheduling1__AcuityID"
"Agent URL"|"acuityscheduling1__Agent_URL"
"Closed Time"|"Closed_Time"
"Contact Name"|"Who_Id"
"Created By"|"Created_By"
"Currency"|"Currency"
"Customer URL"|"acuityscheduling1__Customer_URL"
"Description"|"Description"
"Due Date"|"Due_Date"
"Exchange Rate"|"Exchange_Rate"
"Modified By"|"Modified_By"
"Priority"|"Priority"
"Related To"|"What_Id"
"Status"|"Status"
"Subject"|"Subject"
"Task Owner"|"Owner"
"AcuityID"|"acuityscheduling1__AcuityID"
"Agent URL"|"acuityscheduling1__AcuityURL"
"All day"|"All_day"
"Contact Name"|"Who_Id"
"Created By"|"Created_By"
"Currency"|"Currency"
"Customer URL"|"acuityscheduling1__ConfirmationPage"
"Description"|"Description"
"Exchange Rate"|"Exchange_Rate"
"From"|"Start_DateTime"
"Host"|"Owner"
"Location"|"Venue"
"Modified By"|"Modified_By"
"Related To"|"What_Id"
"Title"|"Event_Title"
"To"|"End_DateTime"
"Call Duration"|"Call_Duration"
"Call Owner"|"Owner"
"Call Purpose"|"Call_Purpose"
"Call Result"|"Call_Result"
"Call Start Time"|"Call_Start_Time"
"Call Type"|"Call_Type"
"Contact Name"|"Who_Id"
